sku,unit,description,pmu,db_nr,category
E803CA/40,pcs,,2.1338,312,3
E803CA/63,pcs,,3.2864,423,3
E803M/40,pcs,,1.7566,216,3
E803M/63,pcs,,2.7170,346,3
E804CA/40,pcs,,2.6954,466,3
E804CA/63,pcs,,4.2023,498,3
E804M/40,pcs,,2.2268,396,3
E804M/63,pcs,,3.4401,420,3
E901M/50,pcs,,4.2047,297,3
E902C/32,pcs,,1.8093,215,3
E903CA/32,pcs,,2.4964,214,3
E904CA/32,pcs,,3.2100,426,3
F1030,pcs,,2.1955,194,5
F1032,pcs,,18.1056,411,5
F1032-19,pcs,,18.6901,534,5
F1033,pcs,,26.4636,480,5
F1036,pcs,,1.6762,295,5
F1037,pcs,,0.2253,294,5
F1043,pcs,,0.8282,482,5
F1068,pcs,,0.0666,399,5
F1069,pcs,,0.0403,395,5
F1074,pcs,,0.8839,518,5
F1084,pcs,,0.6287,511,5
F1085,pcs,,16.4648,535,5
F1086,pcs,Doepke,41.6878,539,5
F1087,pcs,Clem,41.7911,536,5
F1088,pcs,,17.6225,538,5
F1089,pcs,,38.3606,537,5
F1090,pcs,Levetta Doepke,2.4897,541,5
F493,pcs,,1.0207,89,5
F493-F494-F495-F919,pcs,,4.0584,514,5
F494,pcs,,0.7033,90,5
F495,pcs,,0.3617,91,5
F496,pcs,,0.9965,92,5
F498,pcs,,0.5225,93,5
F499,pcs,,0.5491,94,5
F510,pcs,,0.1230,95,5
F516,pcs,,0.0800,96,5
F517,pcs,,32.1761,148,5
F559,pcs,,14.4165,519,5
F560CE,pcs,,25.6197,173,5
F673,pcs,,1.1381,97,5
F674,pcs,,0.1485,98,5
F674/H68,pcs,,0.1485,366,5
F675,pcs,,0.4700,99,5
F675/H68,pcs,,0.4700,367,5
F676,pcs,,0.2335,157,5
F677,pcs,,0.2232,100,5
F678,pcs,,0.1790,101,5
F679,pcs,,0.1156,102,5
F679/H68,pcs,,0.1130,369,5
F684,pcs,,15.4648,146,5
F687,pcs,,15.2845,147,5
F688,pcs,,0.2794,103,5
F689,pcs,,0.1813,104,5
F690,pcs,,0.1034,105,5
F691,pcs,,1.9783,106,5
F692,pcs,,0.5398,107,5
F693,pcs,,1.0768,108,5
F694,pcs,,0.3803,109,5
F695,pcs,,0.7718,110,5
F736,pcs,,0.1760,111,5
F736/H68,pcs,,0.1845,368,5
F768,pcs,,2.0892,158,5
F769,pcs,,34.9671,159,5
F770,pcs,,58.4413,160,5
F776,pcs,,38.5704,149,5
F786,pcs,,32.1761,150,5
F806,pcs,,1.5045,357,5
F811,pcs,,38.5704,151,5
F824,pcs,,0.0850,521,5
F826,pcs,,0.5206,112,5
F827,pcs,,0.6324,113,5
F850,pcs,,0.2362,114,5
F873,pcs,,0.1559,116,5
F877,pcs,,1.7541,115,5
F899,pcs,,0.4651,156,5
F900,pcs,,1.3867,404,5
F901,pcs,,1.0125,405,5
F903,pcs,,17.2465,117,5
F903/1,pcs,,15.8204,152,5
F904,pcs,,18.5887,155,5
F905,pcs,,38.1831,162,5
F906,pcs,,41.8310,163,5
F907,pcs,,1.8140,120,5
F908,pcs,,1.7427,121,5
F909,pcs,,41.8310,153,5
F910,pcs,,24.1232,154,5
F913,pcs,,0.4363,122,5
F914,pcs,,0.3027,123,5
F915,pcs,,0.3144,124,5
F916,pcs,,0.1044,125,5
F917,pcs,,0.2601,126,5
F918,pcs,,0.8229,127,5
F919,pcs,,1.9727,128,5
F920,pcs,,0.3506,187,5
F921,pcs,,0.7581,188,5
F922,pcs,,0.9683,189,5
F923,pcs,,1.4905,190,5
F924,pcs,,0.5767,129,5
F925,pcs,,0.1800,130,5
F955,pcs,,0.2846,161,5
F974,pcs,,0.1408,131,5
F975,pcs,,1.5900,132,5
F976,pcs,,0.1751,184,5
F977,pcs,,0.2140,185,5
F978,pcs,,1.9694,164,5
F979,pcs,,21.4141,165,5
F982,pcs,,21.5211,481,5
F984,pcs,,1.1740,166,5
G19,pcs,,0.3694,167,3
G32,pcs,,0.0321,169,3
G32 in fust.,pcs,,0.0812,348,3
G37,pcs,,0.0370,170,3
G37 in fust.,pcs,,0.1151,319,3
G38,pcs,,0.2535,133,3
G4,pcs,,0.1872,168,3
G43,pcs,,0.1168,134,3
G44,pcs,,0.2096,135,3
G45,pcs,,0.1491,136,3
G46,pcs,,0.2383,137,3
G50,pcs,,0.0654,138,3
G51,pcs,,0.2539,139,3
G52,pcs,,0.3059,140,3
G53,pcs,,0.1569,141,3
G56,pcs,,0.6400,142,3
G57,pcs,,0.3903,143,3
G58,pcs,,0.6170,144,3
G59,pcs,,0.4332,145,3
G61,pcs,,0.2100,290,3
G62,pcs,,0.0712,288,3
G66,pcs,,0.3522,306,3
G67,pcs,,0.1018,311,3
G72,pcs,,0.1350,342,3
G73 Synflex,pcs,,0.2318,321,3
G74,pcs,,0.1392,471,3
G75,pcs,,0.0878,472,3
G78,pcs,,0.4620,500,3
G801M/63-1 SIGI,pcs,,0.1266,499,3
G801M/63-1 Synflex,pcs,,0.1180,444,3
G802M/40 SIGI,pcs,,0.1176,475,3
G803CA/40,pcs,,0.1300,477,3
G803M/40,pcs,,0.1336,413,3
G803M/63 Synflex,pcs,,0.1310,493,3
G804CA/40,pcs,,0.1570,468,3
G804M/40 SIGI,pcs,,0.1930,412,3
G804M/63,pcs,,0.1843,469,3
G82,pcs,,0.3541,520,3
G901M/50-1,pcs,,0.2486,533,3
G901M/50-2,pcs,,0.0856,316,3
G901M/50-2 Synflex,pcs,,0.0583,507,3
G902C/32,pcs,,0.1148,476,3
G903CA/32 SIGI,pcs,,0.1944,524,3
G903CA/32 Synflex,pcs,,0.1608,424,3
G904CA/32 SIGI,pcs,,0.2666,501,3
G904CA/32 Synflex,pcs,,0.2296,445,3
H6,pcs,,2.7243,380,3
H8,pcs,,6.0285,392,3
L409/10-16,pcs,,14.5183,473,1
L409/10-16N,pcs,,15.1187,422,1
L409/20-25N,pcs,,17.0188,435,1
L409/32N,pcs,,19.0010,490,1
L414/16,pcs,,12.4627,298,1
L414U/10,pcs,,15.2915,323,1
L414U/16,pcs,,15.2548,318,1
L414U/20,pcs,,14.0121,308,1
L414U/25,pcs,,15.5722,310,1
L414U/32,pcs,,15.6499,344,1
L414U/40/5M,pcs,,16.7019,510,1
L414U/6,pcs,,14.3873,362,1
L414U/6/A563,pcs,,14.5594,495,1
L416/25,pcs,,13.8505,197,1
L416/25N,pcs,,14.4155,478,1
L416/40,pcs,,13.7987,329,1
L416/40N,pcs,,14.3770,479,1
L416/63N,pcs,,14.8323,371,1
L430/40,pcs,,6.1127,522,1
L433U/40,pcs,,17.5954,199,1
L435/40N,pcs,,10.5446,391,1
L436U/10,pcs,,22.7887,436,1
L436U/10B,pcs,,20.4125,415,1
L436U/16,pcs,,22.7388,432,1
L436U/20,pcs,,24.4351,450,1
L436U/25,pcs,,24.6016,451,1
L436U/32,pcs,,26.8920,452,1
L436U/6,pcs,,19.1142,439,1
L443,pcs,,8.7272,218,1
L443N,pcs,,9.2535,374,1
L443NB,pcs,,9.3465,438,1
L451,pcs,,1.3452,174,1
L452N,pcs,,9.2998,320,1
L455,pcs,,2.1685,193,1
L456,pcs,,1.3563,175,1
L481,pcs,,16.4167,201,1
L483,pcs,,2.1518,280,1
L484/40,pcs,,2.8625,281,1
L484/40/H68,pcs,,2.8360,328,1
L484/63/h55,pcs,,3.2966,363,1
L484/63/h68,pcs,,3.4984,364,1
L501M/40N,pcs,,10.4101,430,2
L501M/63N,pcs,,11.0845,429,2
L502C/40,pcs,,5.4622,277,2
L502C/63,pcs,,6.3270,276,2
L502M/40N,pcs,,11.8884,358,2
L502M/63N,pcs,,13.1141,278,2
L503C/40,pcs,,8.1261,223,2
L503C/63,pcs,,10.1449,224,2
L503M/40N,pcs,,13.6875,275,2
L503M/63N,pcs,,15.6389,274,2
L504C/40,pcs,,8.8498,225,2
L504C/63,pcs,,11.3272,273,2
L504M/40N,pcs,,13.1721,271,2
L504M/63N,pcs,,14.9695,272,2
L521/40N,pcs,,12.7520,195,1
L521/63N,pcs,,13.2695,196,1
L523/32/H68,pcs,,3.2805,340,1
L523/40,pcs,,3.2293,282,1
L523/63/H68,pcs,,3.9205,341,1
L543/1,pcs,,1.2629,448,1
L557/2,pcs,,1.0891,200,1
L562/H68,pcs,,3.1039,416,1
L562/h55,pcs,,2.9494,283,1
L563/2,pcs,,26.0528,418,1
L597U/40N,pcs,,36.2451,307,1
L597U/50N,pcs,,40.2523,343,1
L597U/63N,pcs,,38.8048,354,1
L601MQ/63,pcs,,9.6690,406,1
L602CB/63,pcs,,7.0282,407,1
L602CQ/63,pcs,,7.5183,408,1
L604CQ/63,pcs,,7.6535,409,1
L618,pcs,,17.4542,339,1
L619,pcs,,0.5905,192,1
L654,pcs,,0.4444,186,1
L655,pcs,,2.3207,296,1
L670N,pcs,,13.1502,512,1
L671,pcs,,3.3920,349,1
L673/10,pcs,,31.4601,327,1
L673/10N,pcs,,32.0765,300,1
L673/10NB,pcs,,30.1394,454,1
